city, confirmed cases, heat label
Long Beach, 41, 6
Pasadena, 9, 2
Agoura Hills, 5, 2
Alhambra, 8, 2
Altadena, 6, 2
Arcadia, 6, 2
Arleta, 2, 1
Athens, 3, 1
Azusa, 1, 1
Baldwin Hills, 4, 1
Bell, 2, 1
Bell Gardens, 3, 1
Bellflower, 8, 2
Beverly Hills, 15, 3
Beverlywood, 10, 3
Boyle Heights, 7, 2
Brentwood, 42, 6
Burbank, 6, 2
Calabasas, 5, 2
Canoga Park, 3, 1
Canyon Country, 1, 1
Carson, 21, 4
Castaic, 2, 1
Century City, 9, 2
Century Palms, 3, 1
Cerritos, 2, 1
Chatsworth, 1, 1
Claremont, 1, 1
Cloverdale, 3, 1
Compton, 5, 2
Covina, 4, 1
Crenshaw District, 2, 1
Crestview, 9, 2
Culver City, 8, 2
Del Rey, 9, 2
Diamond Bar, 2, 1
Downey, 10, 3
Downtown, 7, 2
Duarte, 2, 1
Eagle Rock, 3, 1
East Hollywood, 2, 1
East Los Angeles, 4, 1
Echo Park, 7, 2
El Segundo, 2, 1
Encino, 21, 4
Exposition Park, 2, 1
Florence, 7, 2
Gardena, 4, 1
Glassell Park, 2, 1
Glendale, 23, 4
Glendora, 2, 1
Granada Hills, 8, 2
Hacienda Heights, 2, 1
Hancock Park, 10, 3
Harbor City, 1, 1
Harbor Gateway, 3, 1
Harvard Heights, 2, 1
Hawthorne, 9, 2
Highland Park, 3, 1
Hollywood, 27, 4
Hollywood Hills, 17, 3
Hyde Park, 1, 1
Inglewood, 12, 3
Koreatown, 7, 2
La Canada Flintridge, 6, 2
La Mirada, 5, 2
La Puente, 1, 1
La Verne, 2, 1
Lake Balboa, 3, 1
Lakewood, 7, 2
Lancaster, 16, 3
Lawndale, 2, 1
Leimert Park, 2, 1
Lincoln Heights, 1, 1
Little Bangladesh, 1, 1
Lomita, 12, 3
Los Feliz, 5, 2
Lynwood, 6, 2
Manhattan Beach, 21, 4
Mar Vista, 8, 2
Maywood, 1, 1
Melrose, 47, 6
Miracle Mile, 13, 3
Monrovia, 2, 1
Montebello, 1, 1
Monterey Park, 4, 1
Mt. Washington, 3, 1
North Hills, 1, 1
North Hollywood, 15, 3
Northridge, 4, 1
Norwalk, 9, 2
Pacific Palisades, 12, 3
Pacoima, 1, 1
Palmdale, 2, 1
Palms, 10, 3
Panorama City, 4, 1
Paramount, 4, 1
Park La Brea, 8, 2
Pico, 5, 2
Pico Rivera, 2, 1
Playa Vista, 8, 2
Pomona, 3, 1
Porter Ranch, 2, 1
Rancho Palos Verdes, 6, 2
Redondo Beach, 20, 4
Reseda, 8, 2
San Dimas, 1, 1
San Fernando, 3, 1
San Gabriel, 3, 1
San Pedro, 5, 2
Santa Clarita, 16, 3
Santa Monica, 21, 4
Santa Monica Mountains, 4, 1
Sherman Oaks, 17, 3
Silverlake, 11, 3
South El Monte, 4, 1
South Gate, 4, 1
South Park, 2, 1
South Pasadena, 4, 1
South Whittier, 4, 1
Stevenson Ranch, 3, 1
Studio City, 11, 3
Sun Valley, 2, 1
Sunland, 1, 1
Sylmar, 2, 1
Tarzana, 14, 3
Temple, 6, 2
Torrance, 14, 3
Tujunga, 2, 1
University Park, 6, 2
Valinda, 1, 1
Valley Glen, 12, 3
Van Nuys, 4, 1
Venice, 11, 3
Vermont Knolls, 3, 1
Vermont Vista, 5, 2
Vernon Central, 1, 1
Walnut, 1, 1
Watts, 1, 1
West Adams, 6, 2
West Covina, 4, 1
West Hills, 4, 1
West Hollywood, 35, 5
West Los Angeles, 5, 2
West Vernon, 6, 2
West Whittier/Los Nietos, 1, 1
Westchester, 7, 2
Westlake, 1, 1
Westwood, 11, 3
Whittier, 3, 1
Wholesale District, 6, 2
Willowbrook, 1, 1
Wilmington, 5, 2
Wilshire Center, 2, 1
Winnetka, 5, 2
Woodland Hills, 13, 3




